,WB_changes_open,WBDefinition,Happiness_Change,LifeSatisfaction_Change,PhysicalHealth_Change,MentalHealth_Change,MeaningPurpose_Change,CharacterVirtue_Change,SocialRelationships_Change,Financial_Change,Spirituality_Change,Education_Change,Employment_Change,Recreation_Change,SelfEsteem_Change,Family_Change,Safety_Change,Group_top3,Happiness_Rank,LifeSatisfaction_Rank,PhysicalHealth_Rank,MentalHealth_Rank,MeaningPurpose_Rank,CharacterVirtue_Rank,SocialRelationships_Rank,Financial_Rank,Spirituality_Rank,Education_Rank,Employment_Rank,Recreation_Rank,SelfEsteem_Rank,Family_Rank,Safety_Rank,Other_YesNo,Other_top3,Study_Rating,MindfulnessChanges_open,StressChanges_open,StudyExpectation_open,ChangesWithinSelf_open,Suggestions_open,Chatbot_supportive,Chatbot_easy,Chatbot_efficient,Chatbot_clear,Chatbot_exciting,Chatbot_interesting,Chatbot_inventive,Chatbot_leadingedge,Chatbot_Rating,Chatbot_LikeDislike,Study_supportive,Study_easy,Study_efficient,Study_clear,Study_exciting,Study_interesting,Study_inventive,Study_leadingedge,PSS,CatchQuestions,ERQ,MPoD,SRI,PositiveMood,NegativeMood,WellbeingRating,Reappraisal,DC_awareness,DC_nonreactivity,DC_disidentification,Mindful_skill,SWLS,Extraversion,Agreeableness,Conscientiousness,Neuroticism,OpennesstoExperience,FFMQ15,FFMQ_Observing,FFMQ_Describe,FFMQ_ActingwAwareness,FFMQ_NonJudging,FFMQ_Nonreactivity,Autonomy,Competence,Relatedness,Meaning_Presence,Meaning_Search,Synchronicity,Condition,RandomID,id,BaselineDate,Time
15,"I really became more aware of myself, and started visualizing the way I think or feel. In the past I really just liked expressing my feelings and thoughts artistically, but now I started the mindfulness exercises suggested by the OpenAI, if not daily, at least 4-5 times a week to practice focusing and remaining calm in stressing situations. ","My definition of well-being is the same as before except I now also included the aspect of mindfulness. When my mind is clear and calm instead of being distracted and influenced (even emotionally) by unimportant things, I consider my well-being successfully achieved.  ",5,5,5,5,4,5,5,3,4,5,3,4,5,4,3,"Spirituality,Meaning  and Purpose of Life,Family",NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,3,NA,No,NA,7,"Yes. Through the mindfulness exercises suggested by the OpenAI, I learned to reflect on myself, think rationally rather than reacting emotionally, and practice focusing, and being calm in stressful situations. Such exercises encouraged me to focus on the state of my mind itself rather than other factors that were influencing my emotions and thoughts. ","I would say that my understanding of “stress” still remains pretty much the same as before but now it is more related to the state of my mind, rather than its direct influence on my emotion (since the way I think may influence the way I feel and view the situation). So now even though I am extremely sad or angry, as long as I remain calm and have peace in mind, which happens after few breathing exercises, I won’t be or feel stressed and will let things go by instead of thinking and wasting my time stressing about it. ","I really appreciated the mindfulness exercises provided by the OpenAI, and it really positively influenced the way I view and handle things, especially in stressful situations. My goal at the start of doing this exercises was to handle stresses well, or at least to handle it better than before, and now I think I am in a better shape in terms of stress management. ","I really changed the way I view and handle stressful situations. I used to be very expressive with my emotions, and didn’t really know or learned about managing stresses. However, through mindfulness exercises, I have practiced and incorporated simple and easy exercises such as breathing exercises or reflecting on myself and empathizing with others, and this helped me so much with maintaining calm state of emotion or mind and just generally made me become less reactive to these stressful situations. ","I really think this is a great system to enhance mindfulness skills and give people opportunities to learn something, that is, so simple but effective to incorporate into their lives. Overall, I really enjoyed using it and appreciate the mindfulness exercises provided by the OpenAI. Thank you! ",7,7,5,6,6,6,5,5,7,"In addition to what I answered from the previous questions, I really liked how friendly and informative the OpenAI was, and appreciated that it never asked the user back for more personal informations, and maintained the boundary while being polite and supportive. I really enjoyed using it!  ",NA,NA,NA,NA,NA,NA,NA,NA,36,3,29,75,29,28,21,7,58,22,25,28,5,17,8,10,10,6,6,53,10,10,12,9,12,13,11,15,34,28,14,Domain,5929,3409,9/6/2023,2
16,I think my well-being decreased since the beginning of the study. I got the flu and this combined with school work combined with my already struggling mental health really brought me down.,I think in the same way. It has to do with all of your needs being met. ,1,2,1,2,3,3,3,3,3,3,3,2,3,3,3,"Safety,Close Social Relationships,Mental Health",NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,No,NA,3,"No, I still think mindfulness is understanding what is happening in your mind and body at any given time.","No. I think it was confirmed to me while doing the colouring exercises how stressed my thoughts make me, and how little I can control when they make me feel sick.",It met my expectations of having to examine my thoughts while answering the questionaires.,I noticed that while colouring a negative thought would come into my brain and I felt like it was impossible not to react to it. ,"While colouring on my laptop I could only use one colour, but in my phone I could use any colour, however on my phone I couldn’t colour as well. Maybe try to fix those issues.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,7,7,4,7,4,5,47,3,23,43,14,8,18,1,37,10,14,19,1,10,3,4,7,7,9,29,8,4,9,4,4,9,10,5,11,28,3,Control,4557,3775,9/6/2023,2
17,"The mindfulness exercises that I've incorporated into my daily routine have had a significant impact on my wellbeing. I've been able to find ways to help me cope with my stress and further provide me with pathways to a positive mindset. With this heightened optimism, I've been able to tackle daily tasks and challenges with a practical and constructive approach.",Wellbeing is one's state of being able to tackle  and approach challenges and tasks with a positive and constructive attitude.,4,4,4,5,4,4,5,4,4,4,3,4,3,4,3,"Mental Health,Family,Close Social Relationships",NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,No,NA,7,"My understanding of ""mindfulness"" did change. Previously, I believed mindfulness referred to the idea of being aware of your outer experiences. However, I now believe that mindfulness refers to the way in which one is able to tackle and approach tasks and challenges.","My understanding of stress did change. I now understand that stress can manifest in a variety of ways, much more broadly than what I previously believed. I understand that stress can build up through family relations, economic stability, spirituality, recreational activities and much more.",The training has met my goals and expectations to a high degree. The training has provided me with a thorough understanding of mindfulness and the way in which it exhibits in our everyday activities. ,"Throughout this study, I noticed that I had incorporated new exercises within my daily routine. This included meditation during moments of stress and anxiety. In addition, I made sure to make time out of my busy schedule to incorporate some of my recreational hobbies.",No.,7,7,7,7,7,7,7,7,7,"I really enjoyed interacting with this chatbot, it was readily simple and clear to use. ",NA,NA,NA,NA,NA,NA,NA,NA,29,3,24,82,33,43,12,6,57,21,31,30,6,18,4,10,8,8,8,54,12,7,12,11,12,14,13,15,29,25,12,Domain,8255,3505,9/6/2023,2
18,I have become less stressed than when i started this study,I still believe that wellbeing is the optimal physical and mental state for a person,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,"Mental Health,Physical Health,Family",NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,No,NA,6,"My understanding of mindfulness did not change because this study included questions that relate to my definition. For example, the questions about negative experiences",My understanding of stress didn't change   throughout this study because stress is a negative experience and can become harmful to the person in the long term,This training has helped me to think about the topics included in the surveys and helped me understand myself better,I became less stressed because it helped me rewind while i was doing the colouring activity ,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,5,5,6,5,6,33,3,30,62,39,28,16,5,69,19,20,23,4,14,6,7,6,9,6,44,9,9,8,9,9,12,15,14,27,29,10,Control,1317,3772,9/6/2023,2
19,I have created a proper sleep routine which helps mentally allowing me to get about my tasks during the day with a more positive mindset,the state of one's mental and emotional state; wellbeing is being content where are you are mentally and striving to improving that always is important ,3,3,2,2,4,3,4,5,4,4,3,3,4,4,4,"Mental Health,Self-esteem,Happiness",3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,No,NA,5,"Mindfulness means to be aware of  surrondings but I would add it has to do with you specifically - are you mindful of world issues, a friends feelings etc. ","Stress means worrying about situati8ons that can nolt be controlled beucase if they were controllable then you could take iniate to do do something about it. Wen it is out of control, the stress is built on our angriness ",The training helped open my eyes in improving my own wellbeing and coming up with effective ways to do so ,"The way I look at situations, caused me to wait and look at the situation from a bigger scale than emotionally worry and cause myself extra stress.",no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,4,7,3,6,5,3,45,3,31,64,42,37,26,3,73,20,20,24,5,9,7,9,6,9,6,45,10,9,6,11,9,14,13,12,27,30,13,Control,9299,3604,9/6/2023,2
21,"My wellbeing, I would say, has overall experienced an increase throughout the duration of this study. By applying the techniques offered to me, I have managed to alleviate some of my daily stress and learn techniques to manage it more. ","Wellbeing means less stress, self-care, pushing myself away from the negative thoughts that may surround me, and giving myself time to breathe. ",4,4,3,4,3,4,4,3,4,4,3,4,4,4,4,"Mental Health,Family,Happiness",3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,No,NA,7,"Yes, I think I understand the concept better on an overall basis, and I like thinking of mindfulness as this separate entity to consider and delve into. ","No, but the study did confirm that stress is simply a fleeting emotion. When dealt with appropriately, stress itself can be extinguished, even if not completely.",I think it satisfied the purpose for which it was adopted. It definitely taught me some new guided meditation techniques that I will be more mindful of throughout difficult situations in my future.,"I think my impatience and short-temper have, in some aspects, changed. Or rather, my reactions to them have changed. I now consider every emotion that I experience before I immediately react negatively in any situation.",I would say that I'd have preferred a few more options in the techniques offered throughout the study for a broader range of perspective and support.,7,5,6,6,5,6,6,5,7,I loved the chatbot. I felt that it was so responsive to every piece of information I provided and made me feel as though it was emotionally invested in understanding my stress levels and how to appropriately deal with it. ,NA,NA,NA,NA,NA,NA,NA,NA,54,3,28,67,20,37,39,5,48,23,18,26,5,17,4,7,5,8,9,47,12,14,7,7,7,12,12,14,26,15,32,Choice,8298,3427,9/6/2023,2
22,Not a lot,"Wellbeing is your overall physical, mental, emotional and spiritual state",3,4,4,3,3,3,3,5,4,2,3,3,3,3,3,"Spirituality,Family,Mental Health",NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,No,NA,6,Yes. I now see mindfulness as a more conscious act which takes time to understand.,No it did not. Stress is still negative and can prompt unwanted thoughts and actions.,I had neither high nor low expectations so the training met my expectations per se,I noticed that the three techniques mentioned in the study popped up in my head more frequently and I started to acknowledge them,I experienced a slight error with the chatbot that i mentioned in one of the days. It would help if it was reviewed.,7,7,6,6,7,6,5,5,6,I think it was a nice chatbot. I wouldn't say it was special or new but i liked the chats.,NA,NA,NA,NA,NA,NA,NA,NA,33,3,41,95,36,30,14,5,77,32,32,31,4,21,6,3,8,7,6,51,9,15,8,6,13,13,12,15,20,31,10,Choice,6054,3301,9/6/2023,2
24,I believe there are many strategies to maintain a healthy wellbeing but finding the right strategy is quite difficult.,"Wellbeing is the state of being healthy mentally, physically, and emotionally. ",3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,"Family,Education,Spirituality",NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,1,NA,No,NA,5,Mindfulness is doing exercises to calm down body and mind moreover to reduce stress.,"yes, there can be good stress and bad stress. Good stress is when you are excited. On the other hand, bad stress is when you are worried about something constantly.",The training could have been better for example you could implement variety of activities for the 7 days.,I do feel more relaxed when I take a few minutes off my stressed day to complete this survey.,"It was quite difficult to colour using a computer perhaps it could be better. For example, colour by number.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,5,7,4,3,4,4,44,3,23,60,30,24,19,5,53,9,26,25,4,14,6,9,5,8,6,54,14,8,10,9,13,11,10,12,23,27,10,Control,3619,3433,9/6/2023,2
27,"I think a week is very short time to completely change my emotions and improve my well being. I would necessarily say my well-being has drastically changed, but I do think that if I maintain the practices and skills I learnt in this study for a prolonged period of time, my mental health would significantly improve.","Well-being is the health of one’s mind, body, and soul.",4,3,2,3,3,3,3,3,3,3,3,3,3,4,3,"Life Satisfaction,Mental Health,Family",NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,No,NA,5,I think my understanding of mindfulness remained similar.,"Stress is still stressful, I think I just now understand it isn’t the end of the world to be stressed.","To some degree. I wasn’t expecting a radical change in my well-being, but I do feel slightly better about maintaining my well-being.","While completing the study, I think it was nice to know that each day I had time to focus on myself and really listen to my thoughts and feelings.",Nope!,6,7,6,6,5,5,6,5,5,"On the first day, my chat bot didn’t work, but since then the issue seems to be fixed and I have enjoyed talking to the chat bot.",NA,NA,NA,NA,NA,NA,NA,NA,53,3,19,32,14,28,27,3,33,13,9,10,3,8,6,6,6,8,6,38,9,8,10,5,6,6,6,9,11,30,15,Domain,5204,3898,9/7/2023,2
28,My definition of well being has not changed much since the beginning of this study ,"state of hapiness, health, propesperity and be at peace with one's life no matter how hard it may be",5,5,5,3,5,4,3,5,5,5,3,3,3,3,3,"Family,Self-esteem,Life Satisfaction",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,No,NA,5,"No, my understanding of mindfulness did not really change, it has confirmed me that it is a mental state of consciousness ","No, my understanding of stress did not change, it still means a mental state of emotional distress ","It did meet my expectations, however, I thought that I'd allow me to find coping m charisme but is there athée about understanding myself on a deeper level ",I don't believe anything changed about myself while participating in the study  ,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,4,6,4,4,4,4,32,3,40,68,42,33,9,7,82,17,20,31,5,21,6,10,9,2,6,65,12,14,13,15,11,15,15,15,25,29,30,Control,5206,3478,9/6/2023,2
29,"My wellbeing has stayed relatively the same since the beginning of the study. However, I felt like I was able to regulate my emotions and stress better during the first week of university.",Wellbeing means the ability to stay happy and comfortable and being capable of regulating emotions.,4,3,3,3,3,3,4,3,3,4,3,3,2,4,4,"Mental Health,Family,Happiness",3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,No,NA,6,My understanding of mindfulness stayed the approximately the same. This study confirmed for me the importance of taking time to focus on your wellbeing and regulate the amount of negative emotions you feel.,"My understanding of stress has not changed. This study confirmed that stress is an emotion felt often, but there are ways to regulate the amount of stress you feel and how you can deal with it.  ","The training has partially met my goals and expectations. Personally, drawing on a computer is difficult to do, which made it hard to properly focus on the task at hand during each survey.",I have learned more ways to deal with my stress. It is important to take time to destress and step back from your responsibilities in order to focus on your wellbeing.,No.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,6,6,4,5,5,5,46,3,26,54,26,36,28,5,52,13,16,25,5,14,4,5,7,9,9,43,10,7,6,11,9,11,9,15,22,29,5,Control,5240,3670,9/6/2023,2
30,"Since the start of the study, my wellbeing has not changed much.","The term, ""wellbeing"" means how one feels about themselves and how they see themselves through their perspective. ",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Happiness,Life Satisfaction,Close Social Relationships",1,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,4,"My understanding of ""mindfulness"" has not changed since the start of the study. It was confirmed that this is a type of meditation. ","My understanding of ""stress"" did not change throughout the study. It was confirmed that it occurs when there is an overload of things to do, etc.",The training throughout the study did not meet my goals and expectations. The coloring did not seem to do much.,"Throughout participating in the study, I had not noticed anything change about myself.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,40,3,24,60,24,28,28,4,48,20,20,20,4,15,6,6,6,6,6,44,9,8,9,9,9,9,9,9,20,20,8,Control,9313,4039,9/7/2023,2
32,It has improved somewhat,It is the daily activities I do to take care of myself. The small changes that can bring larger impact over time.,4,4,4,4,3,3,4,4,3,4,3,4,4,3,4,"Financial and Material Stability,Close Social Relationships,Safety",NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,3,No,NA,7,This study provided concrete ways to practice mindfulness that I wasn't aware of before the study.,"Yes, I'm aware through the exercises there are ways to step back from stressful thoughts and feelings. Much easier said than done and will take more practice.",I didn't have any expectations going into the study but I'm surprised at how helpful I found the exercises and how much I appreciated having a few minutes of my day to check-in and be mindful.,"Yes, I do feel calmer and more able to handle the daily ups and downs. ",not at the moment,6,6,6,6,5,6,5,6,6,It feels excessively cheery but it does have helpful information when I ask it questions.,NA,NA,NA,NA,NA,NA,NA,NA,43,3,25,56,28,33,28,5,53,21,14,21,3,9,2,4,8,8,9,46,10,9,9,10,8,12,10,11,19,23,5,Choice,8227,4033,9/7/2023,2
