,Duration (in seconds),Practice_Rating,Practice_LikeDislike,Apply_Practice,BaselineDate,Condition,RandomID,id,StudyDay,CurrentDate,Positive_pre,Negative_pre,Stress_pre,Positive_post,Negative_post,Stress_post,Disidentification,Nonreactivity,Reappraisal,Satisfied,Autonomy,Relatedness,Competence,Belonging,Meaning,PosAffect,NegAffect,Stressed
17,612,6,I loved the concept of journaling. It allowed me to bring awareness to myself about the things in life which mattered the most to me.,I can apply the mindfulness practice by incorporating it within my daily routine. I can do this by simply reflecting on the day before I go to bed.,9/6/2023,Value,8255,3505,1,2023-09-07T00:00:00.000Z,3,1,2,4,1,1,2,7,5,7,5,7,6,5,6,3.5,1,1.5
18,381,NA,NA,NA,9/6/2023,Control,3046,3322,1,2023-09-07T00:00:00.000Z,2,4,2,2,2,2,3,2,3,3,3,5,2,4,2,2,3,2
19,396,NA,NA,NA,9/6/2023,Control,1317,3772,1,2023-09-07T00:00:00.000Z,4,1,1,4,1,1,4,5,5,5,5,5,6,4,5,4,1,1
20,385,NA,NA,NA,9/6/2023,Control,7701,3601,1,2023-09-07T00:00:00.000Z,3,3,3,2,NA,5,4,3,4,4,3,1,5,5,4,2.5,NA,4
21,9505,4,I liked that it helped me reflect on my thoughts.,I think its a really good way to gain insights into my thoughts when I am feeling tensed.,9/6/2023,Value,8671,3751,1,2023-09-07T00:00:00.000Z,4,1,4,2,3,5,4,5,6,5,4,5,5,5,5,3,2,4.5
23,1479,5,"I liked how there were varieties of activities to do, and there was a scale of emotions. I also liked the chatbot's responses","I will be separating my thoughts and emotions from my identity, and try not to react to strong emotions and thoughts. I will let them pass.",9/6/2023,Choice,1205,3526,1,2023-09-07T00:00:00.000Z,2,1,3,3,1,2,5,5,5,7,3,5,7,6,5,2.5,1,2.5
24,462,NA,NA,NA,9/6/2023,Control,5240,3670,1,2023-09-07T00:00:00.000Z,4,2,3,4,2,3,4,4,2,4,3,5,5,5,4,4,2,3
25,426,NA,NA,NA,9/6/2023,Control,9832,3406,1,2023-09-07T00:00:00.000Z,4,3,3,4,2,3,3,5,6,4,5,2,5,5,5,4,2.5,3
26,441,NA,NA,NA,9/6/2023,Control,4609,3583,1,2023-09-07T00:00:00.000Z,5,1,3,NA,1,3,3,5,4,6,5,7,7,7,6,NA,1,3
27,392,NA,NA,NA,9/6/2023,Control,7294,3496,1,2023-09-07T00:00:00.000Z,3,4,4,3,4,4,4,5,4,4,5,4,4,5,4,3,4,4
29,1190,5,i liked the positive reappraisal techniques to alter the train of thought,by interrupting the spiral when it starts to find the good within it,9/6/2023,Choice,3790,3475,1,2023-09-07T00:00:00.000Z,3,2,3,3,1,2,5,5,5,5,6,6,6,5,5,3,1.5,2.5
30,762,7,"I really appreciate the fact that I am able to chat and have short QnA session with the bot, that also provided me with positive feedbacks and exercises I could try to make myself feel better. ","I would try to take some time every day to practice reflecting and looking back on the day to feel grateful and Appreciated, which would enhance my motivation and look forward on what’s ahead of me in the future. ",9/6/2023,Value,5929,3409,1,2023-09-07T00:00:00.000Z,3,1,4,4,1,2,3,5,5,6,4,6,7,7,7,3.5,1,3
32,1419,3,"It’s very basic and something I’ve already done before, I expected new exercises that I can try out to improve. ",I apply it every day while walking around my campus or around my neighbourhood. It’s very easy to do and I’ve incorporated it into my routine already. ,9/6/2023,Value,4577,3574,1,2023-09-07T00:00:00.000Z,3,1,2,3,1,2,6,5,6,5,5,4,5,4,5,3,1,2
34,530,NA,NA,NA,9/6/2023,Control,1774,3487,1,2023-09-07T00:00:00.000Z,5,2,3,NA,1,2,4,3,3,6,5,5,5,4,5,NA,1.5,2.5
36,666,5,I like how interactive it is and how much my responses are considered. ,I can choose to carefully consider my thoughts and emotions before I react to any given situation. I do think it will be useful as I am generally a short-tempered person. ,9/6/2023,Choice,8298,3427,1,2023-09-07T00:00:00.000Z,3,1,4,2,1,3,5,3,4,4,3,5,5,6,4,2.5,1,3.5
37,398,NA,NA,NA,9/6/2023,Control,6832,3658,1,2023-09-07T00:00:00.000Z,3,3,5,3,2,4,6,5,3,4,4,5,2,7,4,3,2.5,4.5
43,2674,3,"it didn’t work, i typed the study day and nothing happened ",i’m not sure,9/6/2023,Value,3758,3343,0,2023-09-07T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,66804,2,"I found that the automated sessions contained questions that were too similar too each other, which left me little room for answering differently, specifically the ratings from 1 to 7.","By keeping an open mind, and recognizing the struggles I face are common to many people, and that this new chapter of my life has challenges that I can overcome. ",9/6/2023,Value,1904,3796,1,2023-09-07T00:00:00.000Z,4,1,4,4,1,2,4,5,7,5,4,2,1,6,4,4,1,3
45,754,1,The chat bot just asked me to say the Day number. Idk if something went wrong or if that was it?,The chat bot just asked me to say the Day number. Idk if something went wrong or if that was it?,9/7/2023,Choice,4288,3553,0,2023-09-08T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1715,NA,NA,NA,9/6/2023,Control,3619,3433,2,2023-09-08T00:00:00.000Z,4,3,5,4,2,5,4,5,4,3,4,4,4,4,4,4,2.5,5
49,525,5,I like that it reminds me to remain grounded in reality and take a second to do nothing rather than rush to the next big assignment or reading.,"I can apply the mindfulness practice every time I complete a task like listening to a lecture, or reading through my slides, etc.",9/7/2023,Value,9682,3943,1,2023-09-08T00:00:00.000Z,3,1,4,3,1,3,3,5,2,4,4,4,6,6,5,3,1,3.5
50,796,NA,NA,NA,9/6/2023,Control,1547,3403,2,2023-09-08T00:00:00.000Z,5,1,1,4,1,1,5,7,4,5,4,4,6,6,5,4.5,1,1
52,404,NA,NA,NA,9/7/2023,Control,6230,3871,1,2023-09-08T00:00:00.000Z,3,2,3,3,2,3,3,4,4,3,3,3,4,5,3,3,2,3
53,1024,6,"I liked it to be honest. Pretty simple, and a nice it was nice to have multiple visualizations of the goal of disidentification. One ""dislike"" I have is that it did not provide an alternative of what we are supposed to identify our sense of self with. If I am more than thoughts and feelings, than what else should I view myself as? ","I think this exercise would help in overwhelming moments where emotions are rushing and I don't feel in control. I can remember to let them rush by me, and that I won't be swept along.",9/6/2023,Choice,6646,3682,0,2023-09-08T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,870,NA,NA,NA,9/6/2023,Control,9299,3604,2,2023-09-08T00:00:00.000Z,3,5,5,4,2,2,5,5,4,5,6,5,4,6,5,3.5,3.5,3.5
55,1274,3,"I have heard the exercise before and was hoping for a new suggestion. I like how to exercise suggested is ""bite-size"", so it feels approachable and safe to try. ",I can take 5 minutes on the commute to campus to consider feeling gratitude towards small areas of my life. ,9/7/2023,Value,2596,3613,1,2023-09-08T00:00:00.000Z,2,3,4,2,2,4,4,2,3,1,2,2,3,1,3,2,2.5,4
57,975,NA,NA,NA,9/7/2023,Control,1880,3907,1,2023-09-08T00:00:00.000Z,4,1,4,NA,1,3,4,6,5,5,5,6,7,7,6,NA,1,3.5
58,1490,3,I like that when you are chanting about whom may receive happiness and such one of the people I mention is someone that is no longer a friend. It helped me slightly be at peace with how things ended on a bad note as I was still able to wish them well despite our differences.,"Whenever a sad thought of that ex-friend comes to mind or I feel sad about how that person is no longer in my life, I can still wish to myself and to them to find our own happiness separately from each other.",9/6/2023,Value,8827,3280,2,2023-09-08T00:00:00.000Z,1,1,2,1,1,1,2,3,2,3,3,2,2,3,3,1,1,1.5
59,2717,6,"It was pretty relaxing to do and was overall really helpful in managing my stress. From the 3 practices I found that the last one where I visualized my thoughts, emotions, and feelings as a book was the most effective for me because I love reading and it helped separate myself from my emotions and think about situations in a simpler and more manageable way.",Whenever I'm feeling stressed following the mindfulness practices will help me realize that I need to take a step back and not stress as much. A lot of times I forget to relax when I get stressed and start thinking of what I need to do next without taking a little extra time to fully absorb the situation. ,9/7/2023,Choice,5085,3955,1,2023-09-08T00:00:00.000Z,5,4,7,3,2,5,4,7,6,3,5,5,6,7,3,4,3,6
60,1320,7,"I really liked and enjoyed doing the exercise provided by the OpenAI, and it did really help me to lessen the urges to check and even think about checking behaviour itself. Focusing in every parts of my body while meditating really do help lessen the urges to do a compulsive behaviour. ",I would at least spend 5-10 minutes a day to incorporate body scan meditation into my routine to see if I can permanently change this compulsive checking behaviour. I think this meditation exercise would not only help me with fixing this compulsive behaviour but also with enhancing my mental health and stress levels. ,9/6/2023,Value,5929,3409,2,2023-09-08T00:00:00.000Z,3,2,5,3,1,3,2,5,3,5,4,5,6,6,7,3,1.5,4
61,2090,6,unsure,By letting things go,9/6/2023,Choice,1205,3526,0,2023-09-08T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,425,NA,NA,NA,9/7/2023,Control,4412,3988,1,2023-09-08T00:00:00.000Z,4,1,2,4,1,2,2,5,5,6,6,5,5,5,5,4,1,2
64,555,2,"It seemed a little too simplistic suggesting that you simply stop, decide how to react, and then proceed, but i feel reactions are spontaneous but calculated responses take time to cultivate","When I am feeling reactive I can take a deep breathe, pause or take a step back before choosing how to respond ",9/6/2023,Choice,6298,3355,2,2023-09-08T00:00:00.000Z,1,2,2,1,1,2,2,3,2,2,2,2,3,2,2,1,1.5,2
65,7504,7,"I liked that I was able to reflect on my present character and bring positivity into the way I can develop. By looking at ways I can grow as an individual, I'm allowed to reflect it back on those who need it.","I can incorporate this mindfulness practice into my daily life during times when I catch myself drifting away from my true self. When I'm aware that my actions aren't representing my character, I can stop for a minute and give myself some gratitude.",9/6/2023,Value,8255,3505,2,2023-09-08T00:00:00.000Z,5,1,2,5,1,2,1,6,6,7,6,7,6,7,5,5,1,2
66,551,NA,NA,NA,9/7/2023,Control,2969,3358,1,2023-09-08T00:00:00.000Z,3,1,3,3,1,2,4,4,4,4,3,4,4,4,3,3,1,2.5
68,967,4,"I thought the process was very stilted, although the wording and logic of the whole thing was clear.I think the good thing is that this kind of rhetorical questioning and constant refinement of logic and statements can be very helpful in helping people passively refine and find the right thinking and ideas for themselves through reflection","I can incorporate mindfulness by setting aside daily quiet moments, focusing on the present without judgment, using deep breathing exercises, actively listening without planning a response, taking regular breaks from digital devices, and engaging in activities like mindful walking or eating to ground oneself in the present moment.",9/7/2023,Value,2465,3784,0,2023-09-08T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,612,5,I liked how the exercise allowed me to acknowledge my thoughts and let them go instead of how I usually try to block them out completely.  ,"I can put this practice in my daily life by doing it before starting school work, or important tasks. ",9/7/2023,Value,8026,4018,1,2023-09-08T00:00:00.000Z,2,2,4,2,2,3,3,6,5,4,2,4,5,4,4,2,2,3.5
70,6773,NA,NA,NA,9/6/2023,Control,1774,3487,2,2023-09-08T00:00:00.000Z,4,4,3,4,2,2,5,5,4,4,4,4,4,3,5,4,3,2.5
71,1272,7,I liked that I was able to perform this exercise diligently without any worry of others.  I was able to fully be myself and express freely with the bot because I did not have to worry about any terrible things it would say.  ,I could apply the recommended mindfulness practice in my daily life by applying it to everyday situations that are causing me stress.  I now know the appropriate measures to take in order to practice mindulfulness effectively and accurately ,9/7/2023,Choice,8843,4009,1,2023-09-08T00:00:00.000Z,3,2,3,4,1,2,5,6,6,4,6,7,6,6,7,3.5,1.5,2.5
72,416,NA,NA,NA,9/6/2023,Control,4609,3583,2,2023-09-08T00:00:00.000Z,5,1,1,4,2,1,5,5,3,4,5,7,6,7,3,4.5,1.5,1
74,475,5,"I liked that it prompted me to look deeper, but I feel as though there should be a guided or specific time for the technique in practice.",I can look beyond the situations I once thought were negative and look for the positive attributes within them through guided techniques. ,9/6/2023,Choice,8298,3427,2,2023-09-08T00:00:00.000Z,4,1,5,4,2,4,2,4,3,5,6,7,5,6,5,4,1.5,4.5
75,414,NA,NA,NA,9/7/2023,Control,9313,4039,1,2023-09-08T00:00:00.000Z,4,2,3,4,2,3,3,3,3,5,4,5,4,4,4,4,2,3
77,494,5,The exercise presented a good opportunity to step away from the hustle of everyday life,Remember to slow down and breathe now and then.,9/7/2023,Choice,1589,3916,1,2023-09-08T00:00:00.000Z,4,1,2,4,1,1,5,5,6,6,5,7,7,6,7,4,1,1.5
79,666,6,"I was able to express my feelings without confronting any real person, was a good way too release some of the stress I've been facing in my new learning environment.","I can apply the practice in my daily life by working actively to find solutions that other students have faced and found; surely the stresses of my situation are fairly common, and so resources to alleviate my pressures must exist within the infrastructure the school has built. ",9/6/2023,Value,1904,3796,0,2023-09-08T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,363,NA,NA,NA,9/6/2023,Control,9832,3406,2,2023-09-08T00:00:00.000Z,4,2,3,4,2,2,3,3,6,5,5,3,5,7,6,4,2,2.5
81,444,6,It helped me to de stress and clear my mind before a busy day at dchool,Mediatition. And practicing mindfulness and mindful activities in order to create a stress free wellbeing and experience for myself and others who I may interact with on a daily basis. I really enjoyed these exercises and will apply them to my own life and routine daily. ,9/6/2023,Choice,9030,3736,2,2023-09-08T00:00:00.000Z,5,3,4,5,2,3,6,6,4,5,6,5,6,7,7,5,2.5,3.5
84,419,NA,NA,NA,9/6/2023,Control,1317,3772,2,2023-09-08T00:00:00.000Z,3,2,4,3,2,3,4,5,5,4,4,4,4,3,4,3,2,3.5
85,1729,NA,NA,NA,9/7/2023,Control,1705,3394,1,2023-09-08T00:00:00.000Z,3,2,4,4,2,3,5,4,5,4,4,4,5,5,5,3.5,2,3.5
86,20698,NA,NA,NA,9/6/2023,Control,5240,3670,2,2023-09-08T00:00:00.000Z,2,3,5,3,2,5,4,3,3,4,5,6,3,4,4,2.5,2.5,5
87,437,6,I liked that it helped me think about what I am grateful for.,I think i will be journalling every day before going to bed from now on.,9/6/2023,Value,8671,3751,2,2023-09-08T00:00:00.000Z,3,4,5,4,2,4,5,4,5,6,6,6,5,7,6,3.5,3,4.5
88,367,NA,NA,NA,9/6/2023,Control,5206,3478,2,2023-09-08T00:00:00.000Z,3,1,1,4,1,1,1,2,4,7,6,6,6,5,2,3.5,1,1
91,428,NA,NA,NA,9/7/2023,Control,8195,4024,1,2023-09-08T00:00:00.000Z,2,4,6,3,2,4,5,3,3,2,5,5,4,2,2,2.5,3,5
92,861,2,"Reflecting on my day requires me to have done a lot of things today, but I didn't have much to reflect on.",I can use it to reflect on all the good things i should be grateful for when I think about negative thoughts.,9/6/2023,Value,6123,3535,2,2023-09-08T00:00:00.000Z,1,1,1,1,1,1,4,6,1,3,2,4,1,3,2,1,1,1
93,482,5,"it made me focus on the good parts of my job which, although i do realize sometimes, still tend to go over my head. i am doing this activity as i’m headed to work and i feel (slightly) less annoyed at the thought of going. ","it was a simple gratitude exercise which i believe can be applied to anything, but consciously actually applying it will probably be difficult",9/6/2023,Value,3758,3343,2,2023-09-08T00:00:00.000Z,3,1,5,2,1,5,4,5,3,3,5,3,5,2,4,2.5,1,5
95,415,NA,NA,NA,9/6/2023,Control,4557,3775,2,2023-09-08T00:00:00.000Z,3,2,3,3,2,4,3,4,3,2,3,1,3,1,4,3,2,3.5
98,408,NA,NA,NA,9/7/2023,Control,5727,3310,1,2023-09-08T00:00:00.000Z,3,4,2,3,2,2,3,3,4,3,3,4,5,5,5,3,3,2
101,356,NA,NA,NA,9/6/2023,Control,3046,3322,2,2023-09-08T00:00:00.000Z,4,1,5,4,1,1,5,3,3,3,5,7,2,3,4,4,1,3
102,894,5,Surprised to find that I enjoyed the opportunity to learn how to do this.,Simply trying to practice the visualizations that resonate best with me during times where my emotions and thoughts are easier to handle.,9/7/2023,Choice,8227,4033,0,2023-09-08T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,413,NA,NA,NA,9/6/2023,Control,7294,3496,2,2023-09-08T00:00:00.000Z,4,2,5,4,2,3,5,5,5,5,5,4,4,5,4,4,2,4
105,942,7,it allows me to disconnect from getting wrapped up in the thoughts,by intercepting the thought process to find ways not to react,9/6/2023,Choice,3790,3475,2,2023-09-08T00:00:00.000Z,5,1,2,5,1,1,7,7,7,7,7,7,7,6,7,5,1,1.5
106,808,NA,NA,NA,9/6/2023,Control,6832,3658,2,2023-09-08T00:00:00.000Z,4,2,2,4,1,1,5,3,4,6,5,5,7,5,7,4,1.5,1.5
107,2132,5,I liked the chatbots thorough descriptions,Looking at things more positiviely from now on,9/6/2023,Choice,6054,3301,2,2023-09-08T00:00:00.000Z,3,1,1,3,1,1,7,7,7,6,5,7,7,5,3,3,1,1
109,1470,1,There was an error i could not proceed after explaining why I was interested in that specific aspect,There was none,9/6/2023,Value,4577,3574,0,2023-09-08T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,398,NA,NA,NA,9/7/2023,Control,6230,3871,2,2023-09-09T00:00:00.000Z,3,4,3,3,4,3,4,3,3,3,3,3,4,4,3,3,4,3
111,489,1,The chatbot decided to glitch out and stop responding to my question,I can choose to accept the fact that the chatbot is a mess and move on with my work.,9/7/2023,Value,9682,3943,0,2023-09-09T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,608,1,The bot did not engage. I tried to answer three times and each time I got a message saying there was and error generating a response and to try again. ,I was not provided with a mindfulness practice ,9/7/2023,Value,5204,3898,0,2023-09-09T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,446,2,"I felt it was too short and over simplified. Telling people ""to find good in the bad"" is easier said than done. These surveys also come in the morning and yet ask me to reflect on a day that has not happened yet.",When something apparently negative is happening I can try and find the good in the bad,9/6/2023,Choice,6298,3355,3,2023-09-09T00:00:00.000Z,2,2,3,1,2,3,3,3,3,3,3,3,2,2,3,1.5,2,3
116,614,NA,NA,NA,9/6/2023,Control,6832,3658,3,2023-09-09T00:00:00.000Z,3,1,5,3,1,4,5,5,3,4,5,6,2,5,4,3,1,4.5
117,458,NA,NA,NA,9/7/2023,Control,1880,3907,2,2023-09-09T00:00:00.000Z,4,1,5,4,1,4,4,7,6,5,5,6,6,7,6,4,1,4.5
118,442,2,the chatbot kept on sending me error messages and did not help me with mindfulness at all,"I cannot because the chatbot was not helping me. I kept saying ""an error occurred. Please try again"".",9/8/2023,Value,5474,3889,0,2023-09-09T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,665,5,I like that it reminded to act in a way that reflects how I want to act by avoiding rash emotion based decisions,"I would apply this in high emotion moments, by reminding myself that I need to stay true to what I actually want to accomplish, and act in ways that reflect my true values as opposed to my transient emotions. ",9/6/2023,Choice,6646,3682,3,2023-09-09T00:00:00.000Z,3,2,5,4,2,5,4,6,5,5,6,6,5,6,6,3.5,2,5
121,1083,6,"The exercise was nice, but I wasn’t able to finish the last question before the five minutes so I think my response wasn’t recorded ",Before bed ,9/8/2023,Choice,2716,3595,0,2023-09-09T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,512,NA,NA,NA,9/8/2023,Control,7329,3706,1,2023-09-09T00:00:00.000Z,3,1,2,4,1,1,4,5,3,4,4,3,5,2,3,3.5,1,1.5
125,373,NA,NA,NA,9/7/2023,Control,5727,3310,2,2023-09-09T00:00:00.000Z,3,3,1,2,4,1,2,3,3,3,2,2,5,5,2,2.5,3.5,1
126,386,NA,NA,NA,9/7/2023,Control,1705,3394,2,2023-09-09T00:00:00.000Z,4,2,3,3,3,3,6,7,6,5,4,5,5,5,6,3.5,2.5,3
127,383,NA,NA,NA,9/7/2023,Control,4412,3988,2,2023-09-09T00:00:00.000Z,4,2,2,4,2,2,2,5,5,6,6,6,5,5,6,4,2,2
128,412,NA,NA,NA,9/6/2023,Control,9832,3406,3,2023-09-09T00:00:00.000Z,4,1,2,4,1,2,3,5,6,5,5,6,6,5,6,4,1,2
129,928,3,I still had troubles with the chat bot,I still had trouble with the chatbot so I haven't gotten to the part about the mindfulness practice,9/7/2023,Choice,4288,3553,0,2023-09-09T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,1235,2,There were lots of errors with the chat bot,I don't know what the recommended practice was today because of the chatbot errors,9/7/2023,Choice,1589,3916,0,2023-09-09T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,1009,3,"It was okay, it allowed me to self-reflect. There was an error though.",I can take a step back and think about my decisions every now and then.,9/6/2023,Value,8671,3751,3,2023-09-09T00:00:00.000Z,4,2,6,4,2,6,4,5,5,5,6,6,6,7,5,4,2,6
134,2182,NA,NA,NA,9/8/2023,Control,6001,4186,1,2023-09-09T00:00:00.000Z,3,4,3,3,4,5,3,3,3,4,3,5,5,5,4,3,4,4
135,2634,1,My chatbot kept saying it had error when I responded to its first initial question.  So I do not like that I was unable to fully see the excercise. ,I do not know what practices were used in the session today so I am unable to apply the practices in my every day life.,9/7/2023,Choice,8843,4009,0,2023-09-09T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,611,NA,NA,NA,9/8/2023,Control,2554,4168,1,2023-09-09T00:00:00.000Z,3,3,3,4,4,1,1,7,7,6,6,6,5,6,6,3.5,3.5,2
137,786,1,"I was not able to do the recommended exercise, I kept getting an error message from the chatbot. ",I was unable to get any recommendations due to getting an error from the bot. ,9/8/2023,Value,8559,4114,1,2023-09-09T00:00:00.000Z,1,3,5,2,3,5,3,2,2,2,7,2,1,5,6,1.5,3,5
138,1000,4,The bot wasn’t working. Kept getting an error message.,The bot wasn’t working today.,9/7/2023,Choice,8227,4033,0,2023-09-09T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,807,NA,NA,NA,9/7/2023,Control,2969,3358,2,2023-09-09T00:00:00.000Z,3,2,3,3,2,2,3,3,1,4,3,3,5,4,5,3,2,2.5
141,1143,NA,NA,NA,9/8/2023,Control,7775,4159,1,2023-09-09T00:00:00.000Z,4,3,NA,4,2,6,3,1,5,5,3,4,4,7,7,4,2.5,NA
142,1120,1,The recommended exercise was never given to me and only furthered by stress because the chatbot is broken and would not respond to me,I cannot apply the recommended mindfulness practice in my daily life because I was never told what the exercise is because the bot kept giving me errors after I answer why I chose that particular area.,9/8/2023,Value,5520,4153,0,2023-09-09T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,407,NA,NA,NA,9/6/2023,Control,4557,3775,3,2023-09-09T00:00:00.000Z,1,5,2,1,4,2,3,7,4,1,1,1,1,1,1,1,4.5,2
144,1028,NA,NA,NA,9/6/2023,Control,3619,3433,3,2023-09-09T00:00:00.000Z,4,2,3,NA,2,2,3,5,4,3,4,4,4,5,5,NA,2,2.5
145,394,NA,NA,NA,9/7/2023,Control,8195,4024,2,2023-09-09T00:00:00.000Z,4,2,3,4,1,2,4,4,5,5,4,5,5,4,5,4,1.5,2.5
146,459,NA,NA,NA,9/6/2023,Control,5240,3670,3,2023-09-09T00:00:00.000Z,5,2,4,NA,2,4,3,5,3,5,4,7,3,5,4,NA,2,4
148,786,NA,NA,NA,9/8/2023,Control,8582,4030,1,2023-09-09T00:00:00.000Z,4,1,3,4,1,3,2,5,4,5,4,6,6,7,6,4,1,3
149,384,NA,NA,NA,9/8/2023,Control,5183,3493,1,2023-09-09T00:00:00.000Z,3,3,1,3,2,2,3,4,3,3,3,4,5,4,2,3,2.5,1.5
150,368,NA,NA,NA,9/6/2023,Control,5206,3478,3,2023-09-09T00:00:00.000Z,3,1,3,3,2,3,4,4,4,3,4,4,4,4,2,3,1.5,3
151,386,NA,NA,NA,9/6/2023,Control,9299,3604,3,2023-09-09T00:00:00.000Z,4,2,2,4,1,1,5,4,6,3,3,5,4,5,3,4,1.5,1.5
154,493,NA,NA,NA,9/6/2023,Control,3046,3322,3,2023-09-09T00:00:00.000Z,2,5,NA,2,4,4,2,4,3,1,2,2,1,3,1,2,4.5,NA
