,age,gender,gender_other,sexual_orien,sexual_other,Marital_status,Ethnic_identity,Ethnic_identity_other,Born_country,Eng_primary,ReligiousAffliation,ReligiousAffliation_other,Highest_education,Highest_education_other,Household_income,WBDefinition,Group_top3,Happiness_Rank,LifeSatisfaction_Rank,PhysicalHealth_Rank,MentalHealth_Rank,MeaningPurpose_Rank,CharacterVirtue_Rank,SocialRelationships_Rank,Financial_Rank,Spirituality_Rank,Education_Rank,Employment_Rank,Recreation_Rank,SelfEsteem_Rank,Family_Rank,Safety_Rank,Other_YesNo,Other_top3,PracticedMindfulness,MindfulnessOpen,StressOpen,StudyExpectation,PSS,CatchQuestions,ERQ,MPoD,SRI,PositiveMood,NegativeMood,WellbeingRating,Reappraisal,DC_awareness,DC_nonreactivity,DC_disidentification,Mindful_skill,SWLS,Extraversion,Agreeableness,Conscientiousness,Neuroticism,OpennesstoExperience,FFMQ15,FFMQ_Observing,FFMQ_Describe,FFMQ_ActingwAwareness,FFMQ_NonJudging,FFMQ_Nonreactivity,Autonomy,Competence,Relatedness,Meaning_Presence,Meaning_Search,Synchronicity,PWB,RandomID,id,BaselineDate,Condition,Time
18,19,Female,NA,Straight,NA,Single/never been married,South Asian,NA,India,Yes,Christianity,NA,High school,NA,"$75,000 to $99,999",A sense of one's stable physical and mental health.,"Family,Mental Health,Education",NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,No,NA,Yes,Being aware of your surroundings and wellbeing. Alerting yourself of your mental and physical health.,Mental pressure which can lead to the weakening of one's mental health and wellbeing. ,I hope to bring awareness to myself about my mental health and how I'm able to improve by learning new techniques.,47,3,30,70,22,36,10,5,52,21,29,20,5,18,6,9,8,6,7,44,8,5,11,8,12,12,10,15,25,23,19,55,8255,3505,9/6/2023,Domain,1
19,18,Male,NA,Straight,NA,Single/never been married,Other,Latino/Caucasian ,Canada,Yes,Christianity,NA,High school,NA,"$200,000 or more","the level of the state in which a person has ""inner peace""","Spirituality,Close Social Relationships,Mental Health",NA,NA,NA,3,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,No,NA,Yes,"Mindfulness to me means, the mental state in which a person understands themself to be in. For example if a person is presented with a challenge they understand how they will react and deal with ensuing task. ","The term ""stress"" to me means, the feelings one gets when faced with a challenge in life. Stress can be both a good and bad thing. depending on how mentally strong a person is they handle certain situations better than others. 

e.g. 

A person who may have an essay due at the end of the week can either become overwhelmed by the thought of having to do all the work which comes with writing an essay, and fail. Or that person can become motivated to do the work because of the stress and succeed. ","Me personally, I do not care for mindfulness training, however I am open to trying new things. Some benefits I can think of would be that there is a potential it can help me navigate the stress of freshman year. My expectations for these training sessions are low. My one concern would be boredom as I have ADHD I can get distracted easily. ",41,3,26,77,26,39,16,6,52,27,25,25,3,10,5,7,7,5,9,56,14,9,9,11,13,14,10,15,30,33,33,53,4609,3583,9/6/2023,Control,1
20,19,Female,NA,Straight,NA,Single/never been married,South Asian,NA,Canada,Yes,Islam,NA,High school,NA,"$100,000 to $149,999","How balanced is your life? How healthy are you (mental, physical)? Are you content?","Safety,Happiness,Close Social Relationships",2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,No,NA,Yes,You ability to be in the moment and connect with your body and surroundings ,The state of conflict that occurs when you feel like you do not have the resources to tolerate/ overcome your circumstances ,I feel like you get out of it what you put into it and if you are taking that training when you are distracted or stressed it may be ineffective ,39,3,25,51,22,29,37,5,47,16,20,15,2,14,5,7,5,9,9,46,9,11,9,9,8,12,12,12,25,21,3,41,6298,3355,9/6/2023,Choice,1
21,18,Female,NA,Straight,NA,Single/never been married,South Asian,NA,India,Yes,Islam,NA,High school,NA,"$35,000 to $49,999",General physical health and psychological wellness,"Mental Health,Close Social Relationships,Life Satisfaction",NA,3,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,something like yoga or journaling that makes you focus into your mind either by making it blank or giving your thoughts a peaceful output. ,"something that feels like it’s beyond your control and makes you very anxious, possibly occupying general thoughts ","probably to be more aware of my thoughts, ability to take more notice of positive thoughts, and  strategies to cope with the negative ones",53,3,25,64,29,21,26,4,54,13,30,21,1,10,3,7,6,8,7,31,5,4,5,8,9,7,9,3,20,11,26,25,3758,3343,9/6/2023,Domain,1
22,19,Female,NA,Straight,NA,Single/never been married,South Asian,NA,United Arab Emirates ,Yes,Christianity,NA,High school,NA,"$100,000 to $149,999",One's sense of their own health mentally and emotionally ,"Happiness,Self-esteem,Mental Health",1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,No,NA,Yes,To be aware of my self in terms of physical surroundings and self awareness of emotions people feel including me,Worrying about a situation that I can not control and I can't make it better,To be less stressful immediately when I learn about non controllable situation and instead be able to take a few breathes,46,3,33,49,42,34,28,4,75,12,26,11,5,11,7,8,6,6,7,38,9,6,7,7,9,12,12,10,18,27,15,37,9299,3604,9/6/2023,Control,1
26,18,Female,NA,Bisexual,NA,Single/never been married,African,NA,Nigeria,Yes,Christianity,NA,High school,NA,"$150,000 to $199,999","A general state of physical, mental, and emotional balance and fulfillment in life.","Happiness,Mental Health,Close Social Relationships",1,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,"Mindfulness is the practice of being fully present in the moment, with a non-judgmental awareness of one's thoughts, feelings, and surroundings. It involves cultivating a focused and open-minded attention to promote clarity, self-awareness, and overall well-being.","Stress refers to the body and mind's response to external pressures or challenges, often characterized by feelings of tension, anxiety, and an elevated state of alertness. It can result from various factors and can have both physical and psychological effects on an individual.





","I have no concerns, but i hope to be able to think a little clearer about my life and what I wish to achieve with it after this training.",59,3,28,59,18,44,39,3,46,7,23,29,2,3,9,6,4,8,6,49,11,13,7,7,11,6,3,15,11,30,12,33,6832,3658,9/6/2023,Control,1
27,19,Female,NA,Bisexual,NA,Single/never been married,Caucasian/White,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$75,000 to $99,999","safety, security, comfort in where i am and what im doing","Mental Health,Safety,Close Social Relationships",NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,No,NA,Yes,"being aware of thoughts, feelings, and emotions and how to navigate, name, and manage them","being out of control of events and circumstances around me that result in an emotional, mental, and physical response within my body",i expect to benefit from this training by gaining more mindfulness techniques and being more aware of my own stress and feelings,35,3,31,68,41,48,33,6,72,20,20,28,5,18,6,9,8,6,10,52,13,14,8,6,11,15,15,15,32,31,29,54,3790,3475,9/6/2023,Choice,1
30,20,Male,NA,Straight,NA,Single/never been married,Middle Eastern,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$150,000 to $199,999","Achieving success and balance in multiple domains of life. The importance of each domain may vary between different people. Examples of domain would be: Health behaviours (e.x. meditation, gym), Social life, Productivity (e.x. work, school) and Self reflection/discovery. ","Meaning  and Purpose of Life,Close Social Relationships,Character and Virtue",NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,"Being present in the moment without thinking about anything in particular. If thoughts do come, a mindful person would neutrally examine their thoughts, but ultimately let them pass",Feeling out of control and panicked about something that is either in the immediate environment or in your thoughts. ,"1. Expectations: Being told to pay attention to something specific (e.x. sensation in body), something rhythmic (e.x. breathing), or being told to think about something specifuc (e.x. appreciation for friends)

2. Exposure to different kinds of mindfulness practice. Increased relaxation. A routine that allows for self reflection.",42,3,31,63,33,45,30,5,64,11,26,26,2,19,7,7,10,6,5,48,10,10,11,9,8,15,14,15,33,35,28,53,6646,3682,9/6/2023,Choice,1
35,17,Female,NA,Straight,NA,Single/never been married,Caucasian/White,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$200,000 or more",Wellbeing to me means having a comfortable and happy state of mind.,"Mental Health,Happiness,Close Social Relationships",2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,"The term mindfulness means the ability to be focused on the present moment, and nothing else. ",Stress means feeling overwhelmed and anxious about things going on in your life. ,This training might help me to regulate my mind and wellbeing when I find myself feeling stressed.,48,3,28,42,19,28,34,3,47,5,12,25,1,12,7,7,8,9,6,41,12,6,7,8,8,10,9,11,12,29,6,36,5240,3670,9/6/2023,Control,1
36,19,Female,NA,Straight,NA,Single/never been married,Middle Eastern,NA,canada,Yes,Islam,NA,High school,NA,"Less than $20,000","wellbeing is manitaining health and wellbeing in all aspects such as financial, mental, physical, educational, etc. Making sure to take care and pay attention to all aspects equally.","Education,Character and Virtue,Financial and Material Stability",NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,NA,NA,NA,NA,No,NA,Yes,"mindfulness means being aware of emotions, boundaries, likes and dislikes in order to live a more mindful lifestyle. ",stress is a negative emotion that acts as a big wall preventing you from seeing over it. It fills your body with anxiety and worry.,Im excited to become more mindful and learn new techniques to improve my life. ,52,3,37,88,41,43,34,5,78,28,32,28,5,19,4,9,7,7,7,53,15,12,4,10,12,14,13,13,30,34,41,54,9030,3736,9/6/2023,Choice,1
37,19,Female,NA,Straight,NA,Single/never been married,Southeast Asian,NA,Philippines,Yes,Christianity,NA,High school,NA,"Less than $20,000",wellbeing means where i am mentally. it means that when i am at peace my wellbeing is in a good place,"Mental Health,Close Social Relationships,Happiness",3,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,mindfulness means being aware of your surroundings and how you cope with certain things,"stress means anything that causes me to worry and anything that disrupts my daily routine, and thoughts","i do not concerns nor expectations doing this training, however, i do feel like this training will benefit me in a way that will make me more aware and mindful of how i feel and think",42,3,26,50,23,41,32,4,49,9,24,17,3,11,7,5,5,9,6,46,8,8,12,10,8,12,12,11,17,21,5,36,7701,3601,9/6/2023,Control,1
38,19,Female,NA,Straight,NA,Single/never been married,Prefer not to answer,NA,India,Yes,Prefer not to answer,NA,High school,NA,Prefer not to answer,"I think wellebing means to be satisfied with one self and one's current life. By satisfied I mean to be comfortable, healthy and happy.","Family,Spirituality,Education",NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,1,NA,No,NA,Yes,The quality of being aware of one self and their surroundings.,Stress means any form of mental strain that results from circumstances which are demanding something which is out of your immediate capabilities.,I hope to feel more calm and relaxed after the mindfulness trainings.,29,3,36,65,36,43,20,6,72,30,21,14,4,20,5,10,8,5,10,51,7,11,13,11,9,15,15,15,35,14,20,56,8671,3751,9/6/2023,Domain,1
40,19,Female,NA,Straight,NA,Single/never been married,East Asian,NA,Nepal,No,Buddhism,NA,High school,NA,Prefer not to answer,wellbeing is a mental and physical state in which an individual feels that they are at their optimal state,"Family,Life Satisfaction,Mental Health",NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,No,mindfulness means trying to gain an understanding of something.,stress means situations or experiences that make me feel mentally and physically tired.,"Hopefully, I will be able to learn and be able to maintain the usage of these mindfulness techniques",37,3,34,57,33,26,15,5,67,21,15,21,1,14,6,8,6,8,5,49,8,9,11,11,10,12,5,12,26,29,5,42,1317,3772,9/6/2023,Control,1
41,19,Female,NA,Prefer not to answer,NA,Single/never been married,South Asian,NA,Pakistan,Yes,Islam,NA,High school,NA,"$50,000 to $74,999","A physical, mental and spiritual state of habitual positivity. Constant positive and uplifting habits in all aspects of life. Negative events and thoughts can happen too but to keep up a good wellbeing, one should acknowledge them and let them pass.","Self-esteem,Spirituality,Education",NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,1,NA,NA,Yes,Kindess towards self and others,Yes,Awareness of the body mind and soul and how these components work together and affect you.,Chemicals and hormones released by the body as a response to perceived threats.,"I expect to improve my meditation skills by being able to stay in a meditative state for longer with fewer distractions from my thoughts. I expect to be able to improve my ability to just observe my thoughts and not become attached to them. I expect to enhance my ability to understand my sense of self and know that I am more than just my thoughts, sensations and emotions.",29,3,30,76,31,30,17,5,61,21,20,35,4,15,7,7,5,4,6,49,10,9,10,11,9,15,10,8,25,29,32,41,4577,3574,9/6/2023,Domain,1
42,19,Female,NA,Other,NA,Single/never been married,South Asian,NA,Pakistan,Yes,Islam,NA,High school,NA,"Less than $20,000","Wellbeing is feeling in charge of yourself, and taking care of yourself through whatever means it takes.","Meaning  and Purpose of Life,Family,Spirituality",NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,2,NA,Yes,Religion,Yes,Being aware of what my needs are and what I'm feeling. Acknowledging myself.,SOmething that causes my mind and body into a frenzy. Something I dislike.,I expect to feel calmer and more focused after the trainings. I don't have any concerns.,27,3,34,92,41,42,21,6,75,26,32,34,5,21,7,7,7,6,6,50,10,10,8,11,11,12,12,15,35,35,19,54,1205,3526,9/6/2023,Choice,1
43,22,Female,NA,Prefer not to answer,NA,Single/never been married,Caucasian/White,NA,Canada,Yes,Christianity,NA,Other,Trade School,"$75,000 to $99,999","I would define ""Wellbeing"" using the Maslow's hierarchy of needs. 1 being none of the hierarchy's needs being met, and 7 having all of your needs being met.","Close Social Relationships,Spirituality,Education",NA,NA,NA,NA,NA,NA,1,NA,2,3,NA,NA,NA,NA,NA,No,NA,Yes,"To me mindfulness means being aware of your thoughts and how they make you feel, be it emotionally or physically. I think mindfulness is a conscious effort, and I do not think it is only good to use during certain times of your day. For example if you are talking to your boss I don't think you can be focusing on how your thoughts are making you feel.","I am somewhat confused what to write for the term stress. Some stress is good and exciting; ex) running a marathon, writing a test you prepared for. In a more negative sense stress starts with feeling physically ill even if there is no medical reason to be ill, I might be unable to think clearly or speak clearly, at its worse lose senses like space and time, not understand getting from point A to B. ",I am a little bit concerned because I am going through an ongoing complicated life transition and using study and fitness to distract myself has been my main method of coping. Hopefully it will be a good exercise in realizing that there are good things happening in my life along with the bad.,40,3,27,55,23,19,29,5,50,15,19,21,4,9,6,7,8,8,9,34,9,4,9,7,5,9,12,10,9,27,13,27,4557,3775,9/6/2023,Control,1
46,18,Male,NA,Gay/Lesbian,NA,Single/never been married,Caribbean,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$100,000 to $149,999","Basically your mental state, your ability to handle what life throw's at you. Poor wellbeing depicts a lack of control of your emotions, and excellent wellbeing means you're great at managing your stress and putting things in perspective.","Financial and Material Stability,Mental Health,Employment",NA,NA,NA,2,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,No,NA,No,"Mindfulness describes your ability to think of how you interact with other people, to be mindful means to concern yourself with the actions/reactions of others, and how your response affects them or makes the situation positive.","Stress describes the feeling you get when you're are no longer in control of a large part of your life. That could be financial, or starting at a new school, or even having sex for the first time. It's a fear of the unknown, and presents itself through physical ailments, which are viewed by your friends and family, who then begin to share some of that stress with you.","I expect to get better at managing my stress levels. I also expect to find the unknown less scary, and find a new kind of joy in attempting new challenges or projects. To be excited for the future. My only concern is if this will be applicable outside of the educational scope, if the methods learned can be applied to any kind of stress: emotional, financial, or even grievance. ",40,3,27,58,29,32,26,4,56,19,25,14,1,13,7,7,7,9,5,51,11,11,9,12,8,12,8,10,15,33,22,36,1904,3796,9/6/2023,Domain,1
48,19,Female,NA,Bisexual,NA,Single/never been married,Caucasian/White,NA,canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$50,000 to $74,999","To me, the term ""wellbeing"" refers to the state of a human being in regards to their physical, mental, emotional, etc. health. ","Mental Health,Character and Virtue,Close Social Relationships",NA,NA,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,"Mindfullness to me is being aware of what you're thinking, what is happening, what you are in control of, etc. Instead of letting your thoughts run wild, you have to look at the entire picture and slow down.","Stress to me feels like never being good enough because almost everything expected of you makes you overwhelmed to the point of meltdowns, and unable to effectively complete the task.",I think my therapist will be happy to hear I am doing anything involving mindfulness exercises so I am excited to tell him. I expect I will learn new skills or go over skills I've learned in the past,62,3,11,33,10,24,43,3,21,7,11,15,2,6,8,4,8,8,5,31,5,8,9,3,6,13,15,13,18,18,15,30,3046,3322,9/6/2023,Control,1
49,37,Male,NA,Other,Sapiophile,Single/never been married,Caucasian/White,NA,Norway,No,"Non-religious, atheist, or agnostic",NA,High school,NA,"$35,000 to $49,999","Being synchronized with oneself, ones own thoughts","Meaning  and Purpose of Life,Mental Health,Physical Health",NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,Being aware of the source to unhappiness in the moment,"A feeling of being stuck, or a feeling of unaccomplished goals or desires",If it is meditation exercises I expect them to help as I already have a biased experience with it being beneficial.,22,3,36,82,32,34,13,5,68,26,29,27,3,11,6,6,7,3,9,61,12,10,13,12,14,15,13,4,34,19,5,40,1547,3403,9/6/2023,Control,1
54,21,Female,NA,Bisexual,NA,Single/never been married,Caucasian/White,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$200,000 or more",Wellbeing to me means having good mental and physical health ,"Mental Health,Physical Health,Financial and Material Stability",NA,NA,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,"Being focused/aware of ones own thougths and feelings, living in the present moment",Stress means feeling pressured or anxious. Having a hard time fuctioning properly both mentally and physically.,I hope that learning about mindfullness techniques will help me better put them into prcatice and in doing so have a positive affect on my mental state. I do not have any concerns,47,3,18,50,23,25,25,2,41,20,10,20,1,12,6,7,5,7,8,35,8,5,5,8,9,11,13,12,11,25,5,29,6230,3871,9/7/2023,Control,1
55,20,Female,NA,Straight,NA,Single/never been married,Other,Afghan,Canada,Yes,Islam,NA,High school,NA,"Less than $20,000",Having good mental health and being comfortable with oneself,"Self-esteem,Physical Health,Mental Health",NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,Yes,Being aware of the present moment and one’s mental state ,A sometimes Overwhelming feeling when stressful things come up,I have no concerns. I think that maybe a sense of well being will be improved.,44,3,30,41,20,46,31,4,50,8,10,23,3,12,6,8,6,9,9,40,9,7,7,10,7,12,12,12,19,26,32,40,4288,3553,9/7/2023,Choice,1
56,20,Female,NA,Prefer not to answer,NA,Single/never been married,Mixed,NA,Hong Kong,Yes,Christianity,NA,High school,NA,"$200,000 or more",Wellbeing means the ability to have psychological flexibility to adapt to every-day situations with appropriate responses without significant impact or emotional dysregulation.,"Life Satisfaction,Close Social Relationships,Meaning  and Purpose of Life",NA,1,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,"Mindfulness means the ability to be present with your thoughts, emotions, body sensations to feel grounded and connected.","Stress means anxiety that can be experienced emotionally, psychologically or physically that has a detrimental impact on an individual. ","I expect to learn more about psychological research, learn more about how AI can benefit mental health, learn new perspectives and be more positive and open-minded towards life. ",52,3,27,60,24,34,35,3,51,25,15,20,4,6,3,6,7,8,8,44,9,12,10,4,9,10,15,8,28,35,28,34,2596,3613,9/7/2023,Domain,1
