,AuthId,Catch_01,Catch_02,Catch_03,Decenter_01,Decenter_02,Decenter_03,Decenter_04,Decenter_05,Decenter_06,Decenter_07,Decenter_08,Decenter_09,Decenter_10,Decenter_11,Decenter_12,Decenter_13,Decenter_14,Decenter_15,Decenter_total,Domain1,Domain2,Domain3,Domain4,Domain5,FFMQ_01,FFMQ_02,FFMQ_03,FFMQ_04,FFMQ_05,FFMQ_06,FFMQ_07,FFMQ_08,FFMQ_09,FFMQ_10,FFMQ_11,FFMQ_12,FFMQ_13,FFMQ_14,FFMQ_15,FFMQ_ActingwAwareness,FFMQ_Describing,FFMQ_NonJudging,FFMQ_NonReactivity,FFMQ_Observing,FFMQ_total,FirstGeneration,PSS_01,PSS_02,PSS_03,PSS_04,PSS_05,PSS_06,PSS_07,PSS_08,PSS_09,PSS_10,PSS_total,PersonalWB_01,PersonalWB_02,PersonalWB_03,PersonalWB_04,PersonalWB_05,PersonalWB_06,PersonalWB_07,PersonalWB_08,PersonalWB_09,PersonalWB_10,PersonalWB_11,PersonalWB_Anger,PersonalWB_Anxiety,PersonalWB_Happiness,PersonalWB_SWLS,PersonalWB_Sadness,Reappraisal_01,Reappraisal_02,Reappraisal_03,Reappraisal_04,Reappraisal_05,Reappraisal_06,Reappraisal_07,Reappraisal_08,Reappraisal_09,Reappraisal_10,Reappraisal_11,Reappraisal_12,Reappraisal_13,Reappraisal_14,Reappraisal_15,Reappraisal_16,Reappraisal_17,Reappraisal_CFI,Reappraisal_ERQ,Reappraisal_SRI,Reappraisal_total,SMM_01,SMM_02,SMM_03,SMM_04,SMM_05,SMM_06,SMM_07,SMM_08,SMM_total,SexualOrientation,SocialDomains_total,SocialWB_01,SocialWB_02,SocialWB_03,SocialWB_04,SocialWB_05,SocialWB_06,SocialWB_07,SocialWB_08,SocialWB_09,SocialWB_10,TestAnxiety_01,TestAnxiety_02,TestAnxiety_03,TestAnxiety_04,TestAnxiety_05,TestAnxiety_06,TestAnxiety_07,TestAnxiety_08,TestAnxiety_09,TestAnxiety_10,TestAnxiety_11,TestAnxiety_12,TestAnxiety_13,TestAnxiety_14,TestAnxiety_15,TestAnxiety_16,TestAnxiety_17,TestAnxiety_18,TestAnxiety_19,TestAnxiety_20,TestAnxiety_21,TestAnxiety_numberoftest,TestAnxiety_total,Time,YearofStudy,CatchSum,CorrectID
11,4Imrmyz2JqS14y9rxtI6RKeQKCm1,1,0,1,4,3,2,2,3,2,3,3,2,2,3,1,1,3,2,36,9,11,9,12,9,2,2,3,3,5,3,2,4,3,2,3,2,3,3,2,10,6,9,9,8,42,No,2,2,1,2,2,0,3,2,0,0,14,2,3,4,4,3,1,4,5,4,1,4,8,8,8,9,2,3,3,5,4,3,3,5,4,5,5,4,4,4,4,4,4,3,23,21,23,67,1,1,1,1,1,1,1,1,8,Heterosexual or Straight,50,5,4,6,5,5,4,6,6,5,4,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,1,0,34,1,First year,2,45487
12,4P9m0OC1KnR9KVp9kRe53XzrFGW2,1,1,1,3,5,4,4,3,3,4,3,3,4,3,3,2,2,2,48,14,6,15,11,14,3,3,1,2,3,3,2,1,2,2,3,3,2,3,2,4,8,7,7,9,35,No,2,3,4,2,2,3,3,4,2,3,28,6,6,5,4,5,4,7,5,4,3,6,8,13,10,17,7,3,3,3,4,2,2,4,3,4,3,4,3,4,4,4,5,4,18,17,24,59,1,1,1,1,1,0,1,1,7,Heterosexual or Straight,60,8,6,2,4,10,5,5,6,6,8,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,25,1,First year,3,45540
13,4uFnUzAu1uSlsxQDieBSc848Z682,1,1,1,4,3,3,4,4,3,4,2,2,2,3,5,4,5,5,53,17,15,16,20,20,4,3,2,3,5,5,2,3,3,4,4,3,3,2,5,8,8,8,14,13,51,Yes,2,1,2,0,1,2,1,1,1,2,13,6,7,7,1,6,1,1,6,1,1,2,2,3,12,20,2,7,7,7,7,7,7,6,7,6,7,6,3,4,4,5,2,2,32,42,20,94,1,1,1,2,1,0,1,2,9,Heterosexual or Straight,88,8,9,6,9,9,7,10,10,10,10,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,0,29,1,First year,3,45241
14,58fHGm85OTaLlZzRF5tgxfFlmGl1,1,1,1,4,4,3,3,3,4,4,2,2,2,3,2,2,2,2,42,17,18,17,17,20,4,3,4,4,3,5,3,5,4,3,5,5,5,4,2,14,11,12,8,14,59,Yes,0,1,3,2,1,2,2,3,1,2,17,6,5,6,2,6,2,4,6,2,1,5,4,9,12,17,3,6,6,6,6,6,6,7,7,7,7,7,3,5,5,3,2,1,35,36,19,90,1,2,1,1,2,1,1,2,11,Heterosexual or Straight,89,8,9,10,8,10,7,10,7,10,10,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,24,1,First year,3,45198
15,61xxw3D255dgtudZp0AWpTwZoc13,1,1,1,2,5,2,2,3,3,3,3,2,3,3,3,3,4,3,44,4,9,4,8,10,4,3,3,4,4,2,3,2,3,4,4,3,3,2,2,8,9,9,10,10,46,No,2,4,4,3,3,3,3,4,2,3,31,1,2,1,5,3,6,6,3,4,5,6,9,12,6,4,11,6,6,4,5,5,5,7,6,6,6,6,2,2,2,4,4,4,31,31,18,80,2,1,0,1,1,0,1,2,8,Heterosexual or Straight,35,2,2,6,3,3,1,5,3,6,4,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,3,27,1,First year,3,45172
16,65DesvtnomR3WL2DVnTIJvFJcHZ2,1,1,1,5,5,3,4,4,2,2,3,2,3,3,3,2,3,2,46,14,16,13,16,11,3,1,3,3,2,1,1,3,4,2,2,2,3,4,2,9,4,11,6,6,36,No,0,1,2,2,2,1,1,1,0,0,10,5,6,5,2,4,4,5,5,1,3,5,3,10,9,16,7,5,6,6,5,5,6,7,6,6,6,6,3,3,4,4,2,3,31,33,19,83,1,1,1,0,3,1,2,0,9,Heterosexual or Straight,70,6,8,8,8,7,6,7,9,7,4,1,2,1,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,0,29,1,First year,3,45072
17,670e3i8YVCNfPY8TVZzWR8IxwwC3,1,1,1,3,3,3,3,3,5,5,3,3,3,4,4,4,4,4,54,9,10,3,5,15,4,4,4,3,5,4,4,4,2,4,4,4,3,4,4,11,12,9,13,12,57,Yes,0,0,0,0,2,4,1,4,1,2,14,4,4,3,2,4,4,1,4,6,4,1,8,2,8,11,8,6,5,5,6,5,2,6,7,6,6,6,3,3,3,2,5,5,31,29,21,81,2,3,1,1,1,1,3,1,13,Heterosexual or Straight,42,4,5,4,6,3,0,5,0,8,7,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,3,27,1,First year,3,46356
18,69rynaXHzkhgK9ennyGqXVca17y1,1,1,1,2,2,2,3,3,2,2,2,2,2,4,3,3,4,3,39,13,14,9,15,17,1,5,3,1,4,3,5,2,4,3,3,5,3,2,3,8,15,7,10,7,47,No,1,2,4,2,1,3,0,3,1,3,20,5,5,6,2,6,5,7,5,2,5,7,4,14,11,16,10,6,6,3,6,5,6,7,7,6,6,6,4,5,5,4,4,2,32,32,24,88,2,1,1,1,1,0,1,2,9,Heterosexual or Straight,68,7,6,8,6,7,2,8,7,9,8,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,4,26,1,Second year,3,45073
19,6CT7fD13l6WKLvBEGXSBfXwR7i33,1,1,1,2,3,3,3,2,2,4,4,4,2,4,3,3,3,3,45,13,15,11,10,4,4,3,3,2,4,4,2,3,2,2,3,3,3,3,2,9,8,7,8,11,43,No,3,4,2,2,1,2,1,1,1,2,19,1,6,3,2,4,4,5,5,4,4,5,6,10,9,10,8,5,6,5,5,4,5,7,6,5,5,5,5,5,4,4,5,5,28,30,28,86,3,3,3,3,2,1,2,3,20,Other,53,6,7,9,6,8,3,5,5,1,3,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,0,27,1,First year,3,45542
20,6nOLZdIbiiSQvxomd59iFxwi1Nr1,1,1,1,3,3,3,3,3,3,3,2,2,3,3,2,2,3,2,40,7,11,10,8,20,4,1,2,2,3,4,1,2,3,3,3,1,2,3,2,6,3,8,8,11,36,Yes,3,4,4,2,2,2,3,2,4,3,29,4,4,3,6,4,5,7,4,5,4,6,11,13,8,11,9,3,3,2,3,2,3,6,7,5,6,7,3,2,2,4,4,3,31,16,18,65,0,1,0,2,1,0,2,1,7,Heterosexual or Straight,56,4,3,9,2,5,5,3,5,10,10,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,23,1,First year,3,45332
21,6unxURnzDzUPW67xkTaSH4ZnlDK2,1,1,1,4,4,1,1,1,1,3,4,3,3,4,2,2,4,2,39,10,12,10,20,5,4,2,4,3,3,4,2,5,5,3,3,1,5,5,2,14,5,13,8,11,51,Yes,3,4,4,2,4,3,0,4,4,4,32,2,4,3,6,4,7,5,2,6,5,6,12,11,6,9,12,5,2,4,6,6,6,3,5,6,7,5,4,4,4,3,2,1,26,29,18,73,1,1,0,0,1,0,0,1,4,Heterosexual or Straight,57,8,2,9,3,6,4,10,10,1,4,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,26,1,First year,3,45592
22,6yAfr5XuMTYxQ9hKodkCjzZToLp2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,17,0,3,4,7,7,3,3,3,2,1,2,2,3,3,2,3,1,2,1,1,8,6,6,4,8,32,Yes,4,4,4,3,3,4,4,3,4,4,37,1,1,1,6,2,7,7,2,7,7,7,13,14,4,3,14,3,5,3,5,3,4,6,5,5,6,6,2,2,2,1,1,1,28,23,9,60,1,3,1,2,2,1,2,1,13,Heterosexual or Straight,21,0,0,3,0,4,0,7,0,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,21,1,Second year,3,46367
23,76VB3g2N60MzoyHM1Z3qHy1kIgl1,1,1,1,5,3,3,5,4,4,4,5,3,3,1,4,3,2,2,51,12,7,9,20,0,4,4,4,4,5,1,4,2,4,2,1,4,3,3,2,9,12,11,9,6,47,No,4,3,4,1,4,4,2,3,4,2,31,1,2,3,2,1,7,7,4,7,7,7,9,14,5,6,14,6,7,7,5,5,5,7,7,7,7,7,2,1,1,2,2,5,35,35,13,83,0,2,0,3,0,0,3,0,8,Lesbian,48,7,5,4,3,2,7,10,10,0,0,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,0,24,1,Second year,3,45125
24,76zMafu2eLdqyszWKiKruD1wjAf2,1,1,1,3,2,2,2,2,4,5,3,4,4,3,4,3,4,4,49,14,9,13,18,15,3,5,2,2,4,5,4,1,3,4,3,4,2,2,3,5,13,7,11,11,47,No,2,2,4,1,1,2,1,3,1,4,21,5,5,6,1,6,3,6,6,3,5,5,4,11,12,16,8,6,5,7,6,6,5,7,7,7,7,7,4,4,4,3,4,4,35,35,23,93,0,3,1,0,1,0,2,2,9,Heterosexual or Straight,69,7,7,7,2,10,3,10,8,7,8,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,1,1,0,30,1,First year,3,45504
25,7A8esIxMvNVVwmxTDzao3fzyIea2,1,1,1,3,3,4,4,3,3,3,5,5,5,4,4,3,4,4,57,20,20,20,16,16,3,5,1,2,4,2,4,2,2,3,3,4,2,1,3,5,13,5,10,8,41,No,4,4,4,0,1,2,2,1,3,2,23,6,6,7,4,6,3,7,6,6,1,5,10,12,12,19,4,7,6,7,7,7,6,7,6,7,6,7,5,5,5,5,5,5,33,40,30,103,4,4,0,4,1,0,0,3,16,Heterosexual or Straight,92,10,10,10,10,10,10,8,8,8,8,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,0,26,1,First year,3,46354
26,7w3tqPSonyR4RoSXhpgeI2EOm2u2,1,1,1,2,1,1,1,2,5,4,4,4,3,2,4,3,4,4,44,15,15,16,18,20,1,4,5,3,4,1,3,4,3,1,3,4,4,4,2,13,11,10,7,5,46,No,1,2,2,1,2,1,0,2,0,2,13,2,5,6,1,5,2,5,5,3,2,5,4,10,10,13,4,5,6,5,5,5,6,6,5,6,5,7,3,4,4,4,2,1,29,32,18,79,4,3,1,3,3,1,1,4,20,Heterosexual or Straight,84,7,8,7,8,8,8,9,9,10,10,2,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,0,27,1,First year,3,45573
27,8RFvGloTGiabIoVjZiOTJ0W2tVl2,1,1,1,3,2,3,3,2,3,3,2,2,2,4,2,1,2,1,35,13,4,17,14,6,3,5,4,3,2,5,4,4,1,2,3,5,5,1,2,13,14,5,6,11,49,No,3,4,3,0,3,4,1,3,4,4,29,6,1,5,2,5,5,4,5,1,5,6,3,10,10,12,10,3,3,3,3,4,5,6,5,6,5,6,3,3,3,1,1,1,28,21,12,61,1,4,0,3,2,0,1,2,13,Heterosexual or Straight,54,8,5,2,2,10,7,9,5,4,2,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,5,26,1,Second year,3,45064
28,8jr1mE0a2YWQ8SJoGRCqJXizGt13,1,1,1,5,5,5,5,5,5,5,5,5,5,3,5,4,3,3,68,10,15,8,10,13,1,1,3,3,5,1,1,4,3,5,3,2,3,3,5,10,4,9,15,5,43,Yes,0,2,4,2,3,2,2,3,2,2,22,2,3,2,1,3,1,5,5,4,1,5,5,10,8,7,2,6,6,5,6,6,6,7,6,6,6,6,2,2,2,3,3,3,31,35,15,81,1,2,2,0,2,1,2,2,12,Heterosexual or Straight,56,5,5,8,7,3,5,4,6,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,24,1,First year,3,45525
29,8t2R6JdFz7eD2SvfF6zyBBpC4mU2,1,1,1,3,5,2,2,2,2,3,2,3,4,4,3,2,3,2,42,14,13,11,18,10,5,3,4,4,5,4,4,1,4,5,5,4,4,2,5,9,11,10,15,14,59,No,2,3,3,2,2,4,1,3,1,4,25,3,6,5,2,6,2,4,6,4,3,3,6,7,12,14,5,3,3,5,6,5,5,7,6,6,6,5,5,5,5,4,4,4,30,27,27,84,2,2,1,3,2,1,2,3,16,Heterosexual or Straight,66,7,7,7,6,8,3,9,9,6,4,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,0,29,1,First year,3,45396
30,95DxnzqOiwcje6mDbbJ0s2MYffI3,1,1,1,4,3,2,2,3,3,3,3,3,4,4,3,3,3,3,46,11,6,9,16,16,4,3,3,2,2,5,3,2,1,2,4,3,1,1,2,6,9,4,6,13,38,Yes,4,4,4,2,3,4,2,2,2,2,29,5,5,5,4,4,5,6,5,3,5,6,7,12,9,15,10,6,6,4,3,3,6,5,6,3,5,4,4,4,4,1,1,5,23,28,19,70,0,4,0,3,0,0,2,2,11,Heterosexual or Straight,58,6,5,5,1,7,2,7,9,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,23,1,First year,3,45497
31,99aWBz8h0vRhgfS4D4G8JiOwgw93,1,1,1,5,5,4,2,5,5,5,5,5,4,4,5,5,4,4,67,6,19,12,14,18,3,5,1,5,5,2,4,1,3,5,4,3,1,1,5,3,12,9,15,9,48,No,1,2,3,1,2,3,0,3,2,3,20,1,1,1,4,5,1,4,6,6,1,4,10,8,11,3,2,7,7,7,7,7,7,2,3,6,5,6,5,5,5,4,4,5,22,42,28,92,4,0,1,3,1,0,2,0,11,Heterosexual or Straight,69,1,5,9,10,2,10,10,4,10,8,2,1,2,1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2,0,32,1,Second year,3,45149
32,9c0tQTQK3CbgYoYiBZrW36qPgBl1,1,1,1,3,4,2,2,2,3,4,4,5,4,3,4,3,4,4,51,15,14,12,18,18,3,3,1,2,5,3,2,2,4,3,5,3,2,2,3,5,8,8,11,11,43,Yes,2,3,3,0,3,3,2,3,3,3,25,4,5,4,5,5,4,5,5,3,3,4,8,9,10,13,7,6,6,7,7,6,6,5,5,5,5,5,2,3,2,4,5,5,25,38,21,84,2,3,2,3,2,2,2,2,18,Bisexual,77,7,8,8,6,8,4,8,10,10,8,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,25,1,Second year,3,45295
33,9c1QNpaVu4hNHejN7eZkJnR4SdJ3,1,1,1,3,2,1,1,2,3,3,3,4,3,4,5,3,4,4,45,17,16,18,11,20,2,4,4,2,2,2,3,3,2,4,4,2,3,5,3,10,9,9,9,8,45,No,1,2,3,2,2,4,1,4,1,4,24,5,6,6,3,5,3,4,6,3,3,1,6,5,11,17,6,6,2,5,6,4,4,6,6,6,6,6,3,4,4,1,3,3,30,27,18,75,0,1,1,2,1,0,2,0,7,Heterosexual or Straight,82,8,9,9,7,9,9,6,5,10,10,1,1,2,1,2,1,2,1,1,2,1,1,2,1,2,1,1,1,1,2,1,0,28,1,First year,3,45642
34,9qPLZHmsc1W4AgBehyEovoNEwkd2,1,1,1,4,3,2,4,3,4,4,4,4,3,4,2,2,3,2,48,11,12,4,15,5,4,2,4,3,3,3,1,2,3,3,5,2,3,2,3,9,5,8,9,12,43,No,2,3,4,2,1,3,2,3,3,4,27,3,2,3,6,4,4,5,4,5,4,7,11,12,8,8,8,6,6,5,6,3,5,6,6,7,5,3,4,4,5,4,2,4,27,31,23,81,3,2,2,3,1,2,2,2,17,Heterosexual or Straight,47,5,6,5,7,3,1,9,6,3,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,0,26,1,First year,3,45166
35,9tHuXKygOGOHKTFymFe09yyKsp33,1,1,1,2,3,2,2,1,3,4,3,2,2,3,3,3,4,3,40,3,3,0,1,12,1,2,1,3,4,5,2,2,3,3,3,3,2,3,2,5,7,9,9,9,39,Yes,1,4,3,3,3,3,1,3,1,4,26,1,1,1,2,1,6,4,2,3,6,6,5,10,3,3,12,4,4,6,2,4,4,6,6,4,6,4,1,2,2,3,3,3,26,24,14,64,1,2,2,3,2,0,2,1,13,Heterosexual or Straight,19,0,3,1,2,0,0,1,0,7,5,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,25,1,First year,3,45595
